Registration Number;Room;Course;Days of the Week;Time;Instructor;Credits;Description;
V01107785;B1117;Data Communications (INFO 520);Thursday, Friday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107785;B2165;Analysis of Design of Database Systems (INFO 610);Wednesday, Thursday, Monday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107786;B2155;Data Communications (INFO 520);Monday, Tuesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107786;B3115;Analysis of Design of Database Systems (INFO 610);Tuesday, Friday, Monday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107786;B3176;Systems Development (INFO 530);Wednesday, Tuesday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107786;B2165;Data Mining (INFO 614);Friday, Thursday, Monday;Morning (10:00 am - 11:15 am);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107787;B1117;Principles of Computer and Information Security (INFO 544);Tuesday, Thursday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107787;B3176;Data Communications (INFO 520);Thursday, Friday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107787;B2165;Systems Development (INFO 530);Friday, Tuesday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107787;B3158;Information Systems Management (INFO 640);Thursday, Tuesday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107788;B2157;Principles of Computer and Information Security (INFO 544);Friday, Monday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107788;B1117;Data Mining (INFO 614);Thursday, Wednesday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107788;B2155;Systems Development (INFO 530);Wednesday, Tuesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107788;B3115;Information Systems Management (INFO 640);Wednesday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107789;B2166;Data Mining (INFO 614);Friday, Thursday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107789;B3115;Data Communications (INFO 520);Thursday, Monday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107789;B2155;Systems Development (INFO 530);Wednesday, Tuesday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107789;B3158;Analysis of Design of Database Systems (INFO 610);Thursday, Tuesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107790;B3176;Data Mining (INFO 614);Thursday, Friday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107790;B2175;Information Systems Management (INFO 640);Monday, Wednesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107790;B2166;Principles of Computer and Information Security (INFO 544);Wednesday, Monday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107790;B3158;Data Communications (INFO 520);Tuesday, Friday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107791;B2166;Data Mining (INFO 614);Monday, Friday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107791;B2155;Systems Development (INFO 530);Thursday, Friday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107791;B2165;Information Systems Management (INFO 640);Friday, Tuesday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107791;B2177;Analysis of Design of Database Systems (INFO 610);Friday, Tuesday, Monday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107792;B3115;Systems Development (INFO 530);Wednesday, Tuesday, Monday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107792;B2155;Information Systems Management (INFO 640);Thursday, Tuesday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107792;B1117;Data Communications (INFO 520);Friday, Tuesday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107792;B2175;Data Mining (INFO 614);Friday, Wednesday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107793;B3115;Data Mining (INFO 614);Wednesday, Friday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107793;B2175;Systems Development (INFO 530);Thursday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107793;B2155;Information Systems Management (INFO 640);Friday, Wednesday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107793;B2177;Principles of Computer and Information Security (INFO 544);Thursday, Tuesday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107794;B3115;Information Systems Management (INFO 640);Tuesday, Thursday, Monday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.
V01107794;B2175;Data Mining (INFO 614);Thursday, Tuesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107794;B2155;Principles of Computer and Information Security (INFO 544);Tuesday, Thursday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107794;B2157;Analysis of Design of Database Systems (INFO 610);Monday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107795;B2166;Systems Development (INFO 530);Monday, Tuesday, Thursday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107795;B2155;Data Mining (INFO 614);Thursday, Friday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107795;B2177;Data Communications (INFO 520);Thursday, Friday, Monday;Morning (10:00 am - 11:15 am);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107795;B3115;Information Systems Management (INFO 640);Monday, Tuesday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107796;B3115;Data Communications (INFO 520);Tuesday, Monday, Friday;Morning (10:00 am - 11:15 am);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107796;B2166;Principles of Computer and Information Security (INFO 544);Thursday, Monday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107796;B2157;Analysis of Design of Database Systems (INFO 610);Friday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107796;B3176;Data Mining (INFO 614);Tuesday, Monday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107797;B2175;Systems Development (INFO 530);Friday, Monday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107797;B2166;Information Systems Management (INFO 640);Wednesday, Thursday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107797;B3115;Data Communications (INFO 520);Friday, Monday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107797;B2165;Analysis of Design of Database Systems (INFO 610);Monday, Thursday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107798;B1117;Information Systems Management (INFO 640);Wednesday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107798;B2175;Principles of Computer and Information Security (INFO 544);Friday, Monday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107798;B2165;Systems Development (INFO 530);Friday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107798;B3158;Data Mining (INFO 614);Friday, Thursday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107799;B3158;Data Communications (INFO 520);Wednesday, Friday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107799;B1117;Data Mining (INFO 614);Friday, Tuesday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107799;B2165;Systems Development (INFO 530);Monday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107799;B2175;Analysis of Design of Database Systems (INFO 610);Tuesday, Monday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107800;B2177;Data Mining (INFO 614);Wednesday, Friday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107800;B2175;Principles of Computer and Information Security (INFO 544);Tuesday, Thursday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107800;B2155;Data Communications (INFO 520);Thursday, Tuesday, Friday;Morning (10:00 am - 11:15 am);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107800;B1117;Information Systems Management (INFO 640);Thursday, Wednesday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107801;B2166;Analysis of Design of Database Systems (INFO 610);Tuesday, Wednesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107801;B3158;Principles of Computer and Information Security (INFO 544);Tuesday, Thursday, Friday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107801;B3176;Information Systems Management (INFO 640);Friday, Monday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107801;B2165;Systems Development (INFO 530);Friday, Wednesday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107802;B3158;Principles of Computer and Information Security (INFO 544);Thursday, Wednesday, Friday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107802;B2175;Data Mining (INFO 614);Thursday, Tuesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107802;B2177;Data Communications (INFO 520);Wednesday, Friday, Monday;Morning (10:00 am - 11:15 am);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107802;B2165;Information Systems Management (INFO 640);Thursday, Tuesday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107803;B3115;Analysis of Design of Database Systems (INFO 610);Friday, Thursday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107803;B3158;Principles of Computer and Information Security (INFO 544);Wednesday, Monday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
